var,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
Species occurences,elevation + region,5,455.7008598368749,34.9739729242479,2.40239239664721e-08,FALSE,,0.17262776777707955,5,-222.43947101432786,3,92.82213700488762,5.42375808559575e-20,***,FALSE
Species occurences,elevation * region,7,457.8031792861096,37.0762923734826,8.39713386569239e-09,FALSE,,0.1775621590861828,7,-221.11285724868858,5,95.47536453616618,4.742607945016442e-19,***,FALSE
Species occurences,elevation + season,4,460.0280546977576,39.301167785130644,2.76061294152587e-09,FALSE,,0.16033734771610528,4,-225.74375707860855,2,86.21356487632625,1.900913060166481e-19,***,FALSE
Species occurences,elevation * season,5,462.2789723197871,41.55208540716012,8.9582869251255e-10,FALSE,,0.16039399563227444,5,-225.72852725578397,3,86.2440245219754,1.4031478952986813e-18,***,FALSE
Species occurences,elevation-poly + region,6,429.50123888026644,8.774351967639461,0.0117440894220342,FALSE,,0.2257137126041966,6,-208.16728610679988,4,121.3665068199436,2.727502592798601e-25,***,FALSE
Species occurences,elevation-poly * region,10,429.9468874889631,9.220000576336133,0.00939827142838685,FALSE,,0.24361023395687811,10,-203.35579668565802,8,130.9894856622273,1.7640171193187995e-24,***,FALSE
Species occurences,elevation-poly + season,5,431.5990287648405,10.872141852213531,0.00411424418384034,FALSE,,0.21745161510012134,5,-210.38855547831068,3,116.923968076922,3.546848030194296e-25,***,FALSE
Species occurences,elevation-poly * season,7,432.256297671197,11.529410758570009,0.00296186960024678,FALSE,,0.22507346715502696,7,-208.3394164412323,5,121.02224615107878,1.9062956369174546e-24,***,FALSE
Species occurences,region + season,5,548.3416032109781,127.61471629835108,1.83637816940984e-28,FALSE,,3.3735031945718975e-4,5,-268.75984270137945,3,0.18139363078444148,0.9805355924311323,,FALSE
Species occurences,region * season,7,550.7305877904113,130.0037008777843,5.56161230361366e-29,FALSE,,0.004738610598372145,7,-267.57656150083943,5,2.547956031864487,0.7692561122113664,,FALSE
Species occurences,elevation + region + season,6,457.9469580499414,37.22007113731439,7.81465689285306e-09,FALSE,,0.1728112352262399,6,-222.39014569163734,4,92.92078765026866,3.1538328494569706e-19,***,FALSE
Species occurences,elevation + region * season,9,457.7886706750828,37.06178376245583,8.45827072480789e-09,FALSE,,0.1869460708379268,9,-218.58998751145444,7,100.52110401063447,8.420024879284228e-19,***,FALSE
Species occurences,elevation * region + season,8,460.1180791673285,39.39119225470154,2.63910673131245e-09,FALSE,,0.17786860851248432,8,-221.03046815509282,6,95.64014272335771,2.03402312308337e-18,***,FALSE
Species occurences,elevation * region * season,13,457.3734384695709,36.646551556943905,1.04099371946022e-08,FALSE,,0.20815959820119706,13,-212.88671923478543,11,111.92764056397249,7.544757365696168e-19,***,FALSE
Species occurences,elevation-poly + region + season,7,431.77942850911694,11.05254159648996,0.00375938459209908,FALSE,,0.22596033381881936,7,-208.10098186019226,5,121.49911531315882,1.5106344810261325e-24,***,FALSE
Species occurences,elevation-poly + region * season,11,429.909161810646,9.182274898019045,0.00957723205723659,FALSE,,0.24871107934305892,11,-201.98443165159168,9,133.73221573036,2.0229159259542946e-24,***,FALSE
Species occurences,elevation-poly * region + season,11,432.18147006194937,11.454583149322389,0.00307478350922428,FALSE,,0.2444851100454195,11,-203.12058577724335,9,131.45990747905665,5.93957479738124e-24,***,FALSE
Species occurences,elevation-poly * region * season,19,420.726886912627,0,0.944377584672851,TRUE,,0.31217260778948236,19,-184.9227654902118,17,167.85554805311978,7.461774357482427e-27,***,TRUE
