regions,sel_bait_type,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
ecuador,h2o,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",35.614,7.821,5,22.085,0.048,18,1.109,3,0.775,,FALSE,FALSE
ecuador,h2o,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",36.2,8.407,5,22.671,0.023,18,0.522,3,0.914,,FALSE,FALSE
ecuador,h2o,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",43.248,15.455,7,21.782,0.061,16,1.412,5,0.923,,FALSE,FALSE
png,h2o,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",35.445,0,2,30.739,1,18,0,0,1,,TRUE,FALSE
png,h2o,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",37.064,1.62,3,29.564,0.038,17,1.175,1,0.278,,TRUE,TRUE
png,h2o,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",39.937,4.492,4,29.27,0.048,16,1.469,2,0.48,,FALSE,FALSE
png,h2o,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",37.618,2.173,3,30.118,0.02,17,0.621,1,0.431,,FALSE,FALSE
png,h2o,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",39.637,4.193,4,28.971,0.058,16,1.768,2,0.413,,FALSE,FALSE
png,h2o,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",43.205,7.761,5,28.919,0.059,15,1.819,3,0.611,,FALSE,FALSE
png,h2o,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",43.014,7.569,5,28.728,0.065,15,2.011,3,0.57,,FALSE,FALSE
