regions,sel_bait_type,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
ecuador,cho,elevation-poly + season,5,43.7513192085967,5.838716352167403,0.0208927888664621,FALSE,,0.0927785626916865,5,-15.110953721945407,3,3.09069541253848,0.37785201170522775,,FALSE
ecuador,cho,elevation-poly * season,7,50.21343050103266,12.300827644603366,0.000825594474408261,FALSE,,0.13706041049212397,7,-14.373381917182996,5,4.565839022063301,0.47112302180871446,,FALSE
ecuador,cho_amino_acid,null,2,36.149481011505124,0,0.476175194049786,TRUE,,0,2,-15.774740505752561,0,0,1,,FALSE
ecuador,cho_amino_acid,elevation,3,38.51914283873722,2.3696618272320933,0.145613365508768,FALSE,,0.009302722520149185,3,-15.627992472000187,1,0.29349606750474777,0.5879888292680242,,FALSE
ecuador,cho_amino_acid,elevation-poly,4,41.472241532817456,5.322760521312333,0.0332616665946329,FALSE,,0.009491810683056339,4,-15.625009655297617,2,0.29946170090988744,0.8609396667636149,,FALSE
ecuador,cho_amino_acid,season,3,37.403647039220424,1.2541660277153,0.25434785230715,TRUE,,0.044659747857903755,3,-15.07024457224179,1,1.4089918670215411,0.2352238211427795,,TRUE
ecuador,cho_amino_acid,elevation + season,4,40.124958937583465,3.975477926078341,0.0652383103352619,FALSE,,0.05219560649962395,4,-14.951368357680622,2,1.6467442961438792,0.4389489550974399,,FALSE
ecuador,cho_amino_acid,elevation * season,5,43.418613791749095,7.269132780243972,0.0125688238615011,FALSE,,0.05262460526233248,5,-14.944601013521606,3,1.660278984461911,0.645800485893633,,FALSE
ecuador,cho_amino_acid,elevation-poly + season,5,43.422306976360716,7.272825964855592,0.0125456357841171,FALSE,,0.052507545187389454,5,-14.946447605827416,3,1.6565857998502906,0.6466284965299272,,FALSE
ecuador,cho_amino_acid,elevation-poly * season,7,51.260440489735146,15.110959478230022,0.000249151558782464,FALSE,,0.055649320754163685,7,-14.896886911534239,5,1.755707188436645,0.8818082087123291,,FALSE
ecuador,h2o,null,2,27.79341345713474,0,0.562852893434282,TRUE,,0,2,-11.59670672856737,0,0,1,,TRUE
ecuador,h2o,elevation,3,30.3752607956014,2.581847338466659,0.154793912312979,FALSE,,0.0035057606514218996,3,-11.556051450432278,1,0.08131055627018213,0.7755291795683279,,FALSE
ecuador,h2o,elevation-poly,4,33.334295193755274,5.540881736620534,0.0352539449038259,FALSE,,0.0035070510751691038,4,-11.556036485766526,2,0.08134048560168594,0.9601456927049152,,FALSE
ecuador,h2o,season,3,30.038087085839116,2.2446736287043763,0.183218877328912,FALSE,,0.01804323743919337,3,-11.387464595551137,1,0.4184842660324648,0.5176943365853762,,FALSE
ecuador,h2o,elevation + season,4,32.89355011310868,5.100136655973941,0.0439454888235437,FALSE,,0.022510078872744605,4,-11.33566394544323,2,0.5220855662482791,0.7702479652958224,,FALSE
ecuador,h2o,elevation * season,5,35.61405484504169,7.820641387906953,0.0112762372074391,FALSE,,0.04780539866838146,5,-11.042321540167904,3,1.1087703767989296,0.7749573127915504,,FALSE
ecuador,h2o,elevation-poly + season,5,36.200447181945066,8.407033724810326,0.00841067255005103,FALSE,,0.02252268907554284,5,-11.33551770861959,3,0.5223780398955569,0.913948255686184,,FALSE
ecuador,h2o,elevation-poly * season,7,43.24831734305869,15.454903885923947,0.000247973438967628,FALSE,,0.06086912490702978,7,-10.89082533819601,5,1.4117627807427198,0.9230222394076486,,FALSE
ecuador,lipid,null,2,39.779173153866246,13.714536771292956,0.000590030943460822,FALSE,,0,2,-17.589586576933122,0,0,1,,FALSE
ecuador,lipid,elevation,3,26.06463638257329,0,0.560981590082835,TRUE,,0.4655508699535726,3,-9.400739243918224,1,16.377694666029797,5.1892321152781916e-5,***,TRUE
ecuador,lipid,elevation-poly,4,28.090644512541125,2.0260081299678347,0.203707272324905,FALSE,,0.4920738411853453,4,-8.934211145159452,2,17.31075086354734,1.741879913746489e-4,***,FALSE
ecuador,lipid,season,3,42.265135432200246,16.200499049626956,0.000170237384580067,FALSE,,0.005036946594163112,3,-17.500988768731702,1,0.17719561640284098,0.6737944434145965,,FALSE
ecuador,lipid,elevation + season,4,28.75329658531478,2.688660202741488,0.146255923427749,FALSE,,0.4732373531907198,4,-9.265537181546279,2,16.648098790773687,2.4261144275782362e-4,***,FALSE
ecuador,lipid,elevation * season,5,31.34707371921192,5.28243733663863,0.0399836020140671,FALSE,,0.4935167499083801,5,-8.908830977253018,3,17.36151119936021,5.954873902188328e-4,***,FALSE
ecuador,lipid,elevation-poly + season,5,31.015185335689267,4.950548953115977,0.0472009307734996,FALSE,,0.5029509791346056,5,-8.742886785491692,3,17.69339958288286,5.087587165590609e-4,***,FALSE
ecuador,lipid,elevation-poly * season,7,38.51454843556709,12.449912052993803,0.00111041304890374,FALSE,,0.5153984519665484,7,-8.523940884450212,5,18.13129138496582,0.0027862818704064247,**,FALSE
ecuador,nacl,null,2,40.939612572657644,0,0.237937059484218,TRUE,,0,2,-18.16980628632882,0,0,1,,FALSE
ecuador,nacl,elevation,3,41.07678802569372,0.13717545303607892,0.222164579482728,TRUE,,0.06951043951418848,3,-16.90681506547844,1,2.525982441700762,0.11198501519440829,,FALSE
ecuador,nacl,elevation-poly,4,43.928017817382674,2.9884052447250298,0.0533996162913802,FALSE,,0.07247784968073395,4,-16.852897797580226,2,2.6338169774971902,0.26796243163910066,,FALSE
ecuador,nacl,season,3,41.184445872717525,0.2448333000598808,0.210521867790703,TRUE,,0.06654789150109257,3,-16.96064398899034,1,2.4183245946769603,0.11992312896186642,,FALSE
ecuador,nacl,elevation + season,4,41.72127926288845,0.7816666902308071,0.160962728411239,TRUE,,0.13320327844203558,4,-15.749528520333115,2,4.840555531991413,0.08889692148778225,,TRUE
ecuador,nacl,elevation * season,5,43.166134747028565,2.2265221743709205,0.0781589907911663,FALSE,,0.18445132228455005,5,-14.81836149116134,3,6.702889590334962,0.0819954358494076,,FALSE
ecuador,nacl,elevation-poly + season,5,44.92224769129055,3.9826351186329063,0.0324820822990755,FALSE,,0.13612629017941127,5,-15.696417963292333,3,4.946776646072976,0.17573616334031378,,FALSE
ecuador,nacl,elevation-poly * season,7,48.932691886620404,7.99307931396276,0.00437307544948923,FALSE,,0.24418497404071116,7,-13.733012609976868,5,8.873587352703908,0.11421381510008156,,FALSE
png,amino_acid,null,2,35.17452546225532,0.8013905580634884,0.308075278326442,TRUE,,0,2,-15.234321554657072,0,0,1,,FALSE
png,amino_acid,elevation,3,37.8455388629518,3.472403958759969,0.0810314590749849,FALSE,,0.00404035867041,3,-15.1727694314759,1,0.1231042463623453,0.725691770484352,,FALSE
png,amino_acid,elevation-poly,4,40.81771942671427,6.44458452252244,0.0183338152215656,FALSE,,0.010423514697622102,4,-15.075526380023803,2,0.3175903492665384,0.8531710921554609,,FALSE
png,amino_acid,season,3,34.37313490419183,0,0.459913966338875,TRUE,,0.11800683713490286,3,-13.436567452095915,1,3.5955082051223144,0.057935911815269275,,TRUE
png,amino_acid,elevation + season,4,37.44814306711002,3.075008162918188,0.0988432597686159,FALSE,,0.12101512678599194,4,-13.390738200221676,2,3.687166708870791,0.15824934540378252,,FALSE
png,amino_acid,elevation * season,5,41.00695651505209,6.6338216108602595,0.016678636297816,FALSE,,0.12299205010645105,5,-13.360621114668902,3,3.7474008799763396,0.290063856453513,,FALSE
png,amino_acid,elevation-poly + season,5,40.976691323947826,6.603556419755996,0.0169329466904552,FALSE,,0.12398537268388513,5,-13.34548851911677,3,3.7776660710806027,0.28649465091807635,,FALSE
png,amino_acid,elevation-poly * season,7,49.9499687126566,15.57683380846477,0.000190638281245563,FALSE,,0.1264253126130625,7,-13.308317689661635,5,3.8520077299908735,0.570914045327069,,FALSE
png,cho,null,2,34.6336490462315,0,0.572488773108841,TRUE,,0,2,-14.963883346645162,0,0,1,,TRUE
png,cho,elevation,3,36.86324268847238,2.2295936422408857,0.187765961903245,FALSE,,0.018862884444515005,3,-14.681621344236191,1,0.5645240048179403,0.45244317358365604,,FALSE
png,cho,elevation-poly,4,39.86680334496001,5.233154298728515,0.0418217264313576,FALSE,,0.024312873808926987,4,-14.600068339146674,2,0.7276300149969757,0.6950197562943998,,FALSE
png,cho,season,3,37.37958965523285,2.7459406090013516,0.145041922372697,FALSE,,0.0016097772530509437,3,-14.939794827616424,1,0.04817703805747442,0.826266278733319,,FALSE
png,cho,elevation + season,4,39.99295091423361,5.359301868002113,0.0392653398054129,FALSE,,0.02009780589001407,4,-14.663142123783473,2,0.6014824457233772,0.7402693127368833,,FALSE
png,cho,elevation * season,5,43.58966372476841,8.95601467853691,0.0065011935666142,FALSE,,0.020844096408171277,5,-14.651974719527061,3,0.6238172542362008,0.8909589618423677,,FALSE
png,cho,elevation-poly + season,5,43.432625992737094,8.798976946505597,0.00703223551483717,FALSE,,0.026091321623493473,5,-14.573455853511405,3,0.7808549862675136,0.8540405728043879,,FALSE
