sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_038_a,241,-5.7352,145.33236,h2o,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_008,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_039_a,241,-5.73523,145.33228,lipid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_040_a,243,-5.73519,145.33216,cho_amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_008,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_041_a,246,-5.7352,145.33211,cho,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_042_a,246,-5.73518,145.33208,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,2,200_fp_h_043_a,245,-5.73507,145.33205,nacl,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_043_a,245,-5.73507,145.33205,nacl,3,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_044_a,245,-5.735,145.33186,h2o,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_045_a,243,-5.73497,145.33177,cho,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
lepm_001,dolichoderinae,leptomyrmex,generalistic,png,png_200_m,200,2,200_fp_h_046_a,248,-5.73488,145.33162,amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,2,200_fp_h_047_a,245,-5.73501,145.33151,cho,10,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_047_a,245,-5.73501,145.33151,cho,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_028,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_048_a,245,-5.73507,145.33144,cho_amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
odon_001,ponerinae,odontomachus,predator_scavenger,png,png_200_m,200,2,200_fp_h_048_a,245,-5.73507,145.33144,cho_amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_048_a,245,-5.73507,145.33144,cho_amino_acid,2,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_049_a,252,-5.735,145.33146,nacl,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_049_a,252,-5.735,145.33146,nacl,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,2,200_fp_h_050_a,253,-5.73502,145.33146,h2o,15,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_017,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_051_a,257,-5.73503,145.33132,lipid,3,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_052_a,256,-5.73494,145.33128,cho_amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_053_a,256,-5.73498,145.33128,cho,8,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_054_a,259,-5.73494,145.33113,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
