sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,excluded_for_nutrient_ratios_analyses,excluded_for_total_bait_occupancy_analysis
PSEU001,Formicinae,Pseudolasius,Generalistic,PNG,PNG_200m,200,1,200-FP-H024-B,224,-5.73558,145.33414,Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H025-B,223,-5.73554,145.33403,Amino Acid,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H026-B,218,-5.73547,145.33395,CHO + Amino Acid,48,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI051,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H027-B,221,-5.7353,145.33391,CHO,13,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H028-B,220,-5.73523,145.33386,H2O,0,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H029-B,223,-5.73529,145.33372,NaCl,4,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H029-B,223,-5.73529,145.33372,NaCl,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,1,200-FP-H030-B,224,-5.73517,145.33368,Lipid,2,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI001,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H030-B,224,-5.73517,145.33368,Lipid,63,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H030-B,224,-5.73517,145.33368,Lipid,1,Wet,6-Nov-2012,Natural rainforest,60,200_1,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,2,200-FP-H031-B,236,-5.73556,145.33302,Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI003,Myrmicinae,Pheidole,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H031-B,236,-5.73556,145.33302,Amino Acid,25,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,2,200-FP-H032-B,235,-5.73556,145.33301,CHO + Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI016,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H032-B,235,-5.73556,145.33301,CHO + Amino Acid,7,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,2,200-FP-H033-B,239,-5.73546,145.33262,CHO,42,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H034-B,241,-5.73532,145.33274,H2O,0,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,2,200-FP-H035-B,236,-5.73538,145.33252,NaCl,62,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
MERA001,Myrmicinae,Meranoplus,Generalistic,PNG,PNG_200m,200,2,200-FP-H035-B,236,-5.73538,145.33252,NaCl,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI016,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H036-B,241,-5.73526,145.33254,Lipid,9,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H037-B,236,-5.73525,145.33244,Amino Acid,7,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
ANOP001,Formicinae,Anoplolepis,Generalistic,PNG,PNG_200m,200,2,200-FP-H038-B,241,-5.7352,145.33236,CHO + Amino Acid,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H038-B,241,-5.7352,145.33236,CHO + Amino Acid,4,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI031,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H038-B,241,-5.7352,145.33236,CHO + Amino Acid,3,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H039-B,241,-5.73523,145.33228,CHO,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H039-B,241,-5.73523,145.33228,CHO,1,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H040-B,243,-5.73519,145.33216,H2O,0,Wet,6-Nov-2012,Natural rainforest,60,200_2,NO,NO
